cl	scl	ord	fam	gen	sp	ref	newref	famlab	genlab	splab	cod	dispcat	disp	area	fruit	leng	diam	frfm	pdm	sdm	seeds	seedm	ry	kjg	kjfr	pcw	lip	pro	nsc	ash	fib
Magnoliopsida	Magnoliidae	Ranunculales	BERBERIDACEAE	Berberis	hispanica	0	17	BERBERID	Berberis	hispanic	BHIS	Birds		MEurope	Berry2	9.3	5.5	0.14	0.03	0.02	1.5	0.01	21.1	17.54	0.51	63.5	0.04	0.05	0.67	0.03	0.22
Magnoliopsida	Magnoliidae	Ranunculales	BERBERIDACEAE	Berberis	vulgaris	0	17	BERBERID	Berberis	vulgaris	BVUL	Birds		NEurope	Berry2	10.4	5.5	0.15	0.03	0.02	1.6	0.01	17.3	17.75	0.46	69	0.06	0.05	0.69	0.03	0.17
Magnoliopsida	Magnoliidae	Ranunculales	BERBERIDACEAE	Caulophyllum	thalictroides	37	22	BERBERID	Caulophy	thalictr	CTHA	Birds		NAmerica	Berry2	NA	8.6	0.35	0.03	NA	1	NA	7.5	18.71	0.49	83.5	0.02	0.05	0.03	NA	NA
Magnoliopsida	Magnoliidae	Ranunculales	BERBERIDACEAE	Nandina	domestica	63	28	BERBERID	Nandina	domestic	NDOM	Birds		NAmerica	Berry1	NA	8.5	0.25	NA	NA	NA	NA	NA	18.5	NA	NA	NA	0.05	NA	NA	NA
Magnoliopsida	Dilleniidae	Malvales	BOMBACACEAE	Durio	zibethinus	65	32	BOMBACAC	Durio	zibethin	DZIB	Mammals		Australasia	Berry2	NA	NA	NA	NA	NA	NA	NA	NA	18.67	NA	NA	0.08	0.03	0.89	NA	NA
Magnoliopsida	Asteridae	Lamiales	BORAGINACEAE	Cordia	exaltata	60	2	BORAGINA	Cordia	exaltata	CEXA	Mixed		NTAmerica	Drupe1	10	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Asteridae	Lamiales	BORAGINACEAE	Cordia	nitida	3	46	BORAGINA	Cordia	nitida	CNIT	Mixed		NTAmerica	Drupe2	NA	NA	NA	NA	NA	NA	NA	NA	18.25	NA	72.5	0.07	0.25	0.68	NA	NA
Magnoliopsida	Asteridae	Lamiales	BORAGINACEAE	Ehretia	cymosa	61	8	BORAGINA	Ehretia	cymosa	ECYM	Birds		Africa	Drupe1	10	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Asteridae	Lamiales	BORAGINACEAE	Ehretia	rigida	36	43	BORAGINA	Ehretia	rigida	ERIG	Mixed		Africa	Drupe1	NA	NA	NA	NA	NA	NA	NA	NA	14.9	NA	NA	0.02	0.12	0.72	0.09	0.05
Magnoliopsida	Rosidae	Sapindales	BURSERACEAE	Canarium	australianum	43	4	BURSERAC	Canarium	australi	CAUS	Mixed		Australasia	Drupe2	23.8	15.8	3.2	0.8	NA	NA	NA	25.1	NA	NA	67.5	0.14	0.09	NA	NA	NA
Magnoliopsida	Rosidae	Sapindales	BURSERACEAE	Canarium	muelleri	43	4	BURSERAC	Canarium	muelleri	CMUE	Mixed		Australasia	Drupe2	16.6	13.1	1.5	0.28	NA	NA	NA	18.7	NA	NA	71.5	0.09	0.09	NA	NA	NA
Magnoliopsida	Rosidae	Sapindales	BURSERACEAE	Dacryodes	buettneri	75	35	BURSERAC	Dacryode	buettner	DBUE	Mixed		Africa	Drupe2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.9	0.62	0.09	0.03	NA	0.16
Magnoliopsida	Rosidae	Sapindales	BURSERACEAE	Dacryodes	nitens	71	9	BURSERAC	Dacryode	nitens	DNIT	Birds		NTAmerica	Drupe1	25	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Rosidae	Sapindales	BURSERACEAE	Dacryodes	sp.1	1	39	BURSERAC	Dacryode	sp.1	DSP1	Birds		NTAmerica	Drupe2	26	17	2.8	NA	NA	1	NA	NA	23.31	NA	NA	0.24	0.11	0.65	NA	NA
